date,amount,category,type,description,component,inventory_level
2024-01-01,5000,Income,Sale,Product A Sales,,
2024-01-15,-1200,Expense,Material,Raw Materials Purchase,Metal,50
2024-01-20,-800,Expense,Utility,Electricity Bill,,
2024-01-25,3500,Income,Service,Maintenance Service,,
2024-02-01,4800,Income,Sale,Product B Sales,,
2024-02-10,-1500,Expense,Material,Raw Materials Purchase,Plastic,45
2024-02-15,-950,Expense,Salary,Staff Payment,,
2024-02-28,3200,Income,Sale,Product A Sales,,
2024-03-05,5100,Income,Sale,Product C Sales,,
2024-03-12,-1800,Expense,Material,Raw Materials Purchase,Electronics,60
2024-03-18,-1100,Expense,Utility,Water and Electricity,,
2024-03-25,3800,Income,Service,Installation Service,,
2024-04-01,4950,Income,Sale,Product B Sales,,
2024-04-10,-1650,Expense,Material,Raw Materials Purchase,Wood,55
2024-04-15,-1200,Expense,Salary,Staff Payment,,
2024-04-28,3700,Income,Sale,Product A Sales,,
2024-05-05,5200,Income,Sale,Product C Sales,,
2024-05-12,-1900,Expense,Material,Raw Materials Purchase,Metal,65
2024-05-18,-1200,Expense,Utility,Electricity Bill,,
2024-05-25,4100,Income,Service,Maintenance Service,,
2024-06-01,5100,Income,Sale,Product B Sales,,
2024-06-10,-1750,Expense,Material,Raw Materials Purchase,Plastic,50
2024-06-15,-1300,Expense,Salary,Staff Payment,,
2024-06-28,3900,Income,Sale,Product A Sales,,
